TransactionID,Device,Site,StationName,Start,End,Account,Total_Energy (kWh),Duration,Meter Start (kWh),Meter End (kWh)
43056,578,UK-HBN-EB100B,Knowsthorpe HQ,10/08/2020 13:13,11/08/2020 09:12,Leeds Fleet Account,21.111,19:58:58,0,21.111
43057,575,UK-HBN-EB99B,Knowsthorpe HQ,10/08/2020 13:14,11/08/2020 09:43,Leeds Fleet Account,23.066,20:29:02,0,23.066
43063,559,UK-HBN-EB39A,Westland Road,10/08/2020 14:22,11/08/2020 06:49,Leeds Fleet Account,14.766,16:26:28,0,14.766
43068,604,UK-HBN-EB143,Henshaw 3,10/08/2020 15:33,11/08/2020 05:19,Leeds Fleet Account,23.503,13:46:08,0,23.503
43075,575,UK-HBN-EB99B,Knowsthorpe HQ,10/08/2020 17:56,11/08/2020 09:08,Leeds Fleet Account,17.296,15:11:37,0,17.296
43083,560,UK-HBN-EB39B,Westland Road,11/08/2020 05:51,11/08/2020 07:52,Leeds Fleet Account,12.436,02:01:23,0,12.436
43084,553,UK-HBN-EB37B,Farnley Hall,11/08/2020 06:25,11/08/2020 15:01,Leeds Fleet Account,27.973,08:36:20,0,27.973
43092,562,UK-HBN-EB59,Print Unit Limewood Approach,11/08/2020 07:08,11/08/2020 10:43,Leeds Fleet Account,14.452,03:35:15,0,14.452
43103,603,UK-HBN-EB142,Henshaw 3,11/08/2020 08:09,11/08/2020 08:12,Leeds Fleet Account,0.197,00:03:41,0,0.197
43104,601,UK-HBN-EB141A,Henshaw 1,11/08/2020 08:15,11/08/2020 08:16,Leeds Fleet Account,0.021,00:00:30,0,0.021
43105,601,UK-HBN-EB141A,Henshaw 1,11/08/2020 08:17,11/08/2020 13:31,Leeds Fleet Account,10.066,05:14:24,0,10.066
43115,562,UK-HBN-EB59,Print Unit Limewood Approach,11/08/2020 10:43,11/08/2020 14:57,Leeds Fleet Account,27.178,04:14:19,0,27.178
43116,616,UK-HBN-EB35,Discovery Centre,11/08/2020 10:49,11/08/2020 13:45,Leeds Fleet Account,2.899,02:55:50,0,2.899
43120,560,UK-HBN-EB39B,Westland Road,11/08/2020 12:03,11/08/2020 12:56,Leeds Fleet Account,5.604,00:52:45,0,5.604
43123,578,UK-HBN-EB100B,Knowsthorpe HQ,11/08/2020 12:27,12/08/2020 09:18,Leeds Fleet Account,12.019,20:51:15,0,12.019
43124,560,UK-HBN-EB39B,Westland Road,11/08/2020 12:49,13/08/2020 10:07,Leeds Fleet Account,8.066,45:18:10,0,8.066
43125,577,UK-HBN-EB100A,Knowsthorpe HQ,11/08/2020 13:05,12/08/2020 09:05,Leeds Fleet Account,23.153,19:59:25,0,23.153
43128,560,UK-HBN-EB39B,Westland Road,11/08/2020 14:32,12/08/2020 06:53,Leeds Fleet Account,9.254,16:20:40,0,9.254
43144,575,UK-HBN-EB99B,Knowsthorpe HQ,11/08/2020 18:05,12/08/2020 09:13,Leeds Fleet Account,17.568,15:07:35,0,17.568
